startTime,value,keys,name
2024-04-15T07:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T07:30:00Z,812.0,Hydro Pumped Storage,bmrs _report
2024-04-15T07:30:00Z,594.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T08:00:00Z,1161.0,Biomass,bmrs _report
2024-04-15T08:00:00Z,276.0,Fossil Hard coal,bmrs _report
2024-04-15T08:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T08:00:00Z,1336.0,Hydro Pumped Storage,bmrs _report
2024-04-15T08:00:00Z,692.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T08:30:00Z,1166.0,Biomass,bmrs _report
2024-04-15T08:30:00Z,337.0,Fossil Hard coal,bmrs _report
2024-04-15T08:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T08:30:00Z,638.0,Hydro Pumped Storage,bmrs _report
2024-04-15T08:30:00Z,588.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T09:00:00Z,1154.0,Biomass,bmrs _report
2024-04-15T09:00:00Z,308.0,Fossil Hard coal,bmrs _report
2024-04-15T09:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T09:00:00Z,638.0,Hydro Pumped Storage,bmrs _report
2024-04-15T09:00:00Z,522.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T09:30:00Z,1136.0,Biomass,bmrs _report
2024-04-15T09:30:00Z,249.0,Fossil Hard coal,bmrs _report
2024-04-15T09:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T09:30:00Z,312.0,Hydro Pumped Storage,bmrs _report
2024-04-15T09:30:00Z,516.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T10:00:00Z,1147.0,Biomass,bmrs _report
2024-04-15T10:00:00Z,234.0,Fossil Hard coal,bmrs _report
2024-04-15T10:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T10:00:00Z,207.0,Hydro Pumped Storage,bmrs _report
2024-04-15T10:00:00Z,505.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T10:30:00Z,1104.0,Biomass,bmrs _report
2024-04-15T10:30:00Z,230.0,Fossil Hard coal,bmrs _report
2024-04-15T10:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T10:30:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-15T10:30:00Z,501.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T11:00:00Z,1011.0,Biomass,bmrs _report
2024-04-15T11:00:00Z,240.0,Fossil Hard coal,bmrs _report
2024-04-15T11:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T11:00:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-15T11:00:00Z,507.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T11:30:00Z,1034.0,Biomass,bmrs _report
2024-04-15T11:30:00Z,231.0,Fossil Hard coal,bmrs _report
2024-04-15T11:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T11:30:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-15T11:30:00Z,505.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T12:00:00Z,878.0,Biomass,bmrs _report
2024-04-15T12:00:00Z,258.0,Fossil Hard coal,bmrs _report
2024-04-15T12:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T12:00:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-15T12:00:00Z,490.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T12:30:00Z,844.0,Biomass,bmrs _report
2024-04-15T12:30:00Z,247.0,Fossil Hard coal,bmrs _report
2024-04-15T12:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T12:30:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-15T12:30:00Z,483.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T13:00:00Z,865.0,Biomass,bmrs _report
2024-04-15T13:00:00Z,246.0,Fossil Hard coal,bmrs _report
2024-04-15T13:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T13:00:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-15T13:00:00Z,505.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T13:30:00Z,913.0,Biomass,bmrs _report
2024-04-15T13:30:00Z,254.0,Fossil Hard coal,bmrs _report
2024-04-15T13:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T13:30:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-15T13:30:00Z,506.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T14:00:00Z,1179.0,Biomass,bmrs _report
2024-04-15T14:00:00Z,250.0,Fossil Hard coal,bmrs _report
2024-04-15T14:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T14:00:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-15T14:00:00Z,500.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T14:30:00Z,1203.0,Biomass,bmrs _report
2024-04-15T14:30:00Z,238.0,Fossil Hard coal,bmrs _report
2024-04-15T14:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T14:30:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-15T14:30:00Z,617.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T15:00:00Z,1199.0,Biomass,bmrs _report
2024-04-15T15:00:00Z,313.0,Fossil Hard coal,bmrs _report
